潮汕,#genre#  
CCTV5,http://router.bingyu.in:40000/rtp/239.253.252.192:8000
央视网5,http://router.bingyu.in:40000/rtp/239.253.252.109:8000
央视网5,http://router.bingyu.in:40000/rtp/239.253.252.131:8000
CCTV5+,http://router.bingyu.in:40000/rtp/239.253.252.80:8000
CCTV6,http://router.bingyu.in:40000/rtp/239.253.252.7:8000
CCTV6,http://router.bingyu.in:40000/rtp/239.253.252.193:8000
CCTV7,http://router.bingyu.in:40000/rtp/239.253.252.235:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.211:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.9:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.194:8000
CCTV9,http://router.bingyu.in:40000/rtp/239.253.252.79:8000
CCTV10,http://router.bingyu.in:40000/rtp/239.253.252.236:8000
CCTV11,http://router.bingyu.in:40000/rtp/239.253.252.12:8000
CCTV12,http://router.bingyu.in:40000/rtp/239.253.252.237:8000
CCTV13,http://router.bingyu.in:40000/rtp/239.253.252.14:8000
CCTV14,http://router.bingyu.in:40000/rtp/239.253.252.238:8000
CCTV14,http://router.bingyu.in:40000/rtp/239.253.252.223:8000
CCTV15,http://router.bingyu.in:40000/rtp/239.253.252.16:8000
CCTV17,http://router.bingyu.in:40000/rtp/239.253.252.168:8000
CCTV1,http://ty.19911013.top:8888/rtp/239.253.230.77:8000
CCTV2,http://ty.19911013.top:8888/rtp/239.253.230.234:8000
CCTV3,http://ty.19911013.top:8888/rtp/239.253.230.4:8000
CCTV4,http://ty.19911013.top:8888/rtp/239.253.230.111:8000
CCTV5,http://ty.19911013.top:8888/rtp/239.253.230.6:8000
CCTV5+,http://ty.19911013.top:8888/rtp/239.253.230.80:8000
CCTV6,http://ty.19911013.top:8888/rtp/239.253.230.7:8000
CCTV7,http://ty.19911013.top:8888/rtp/239.253.230.235:8000
CCTV8,http://ty.19911013.top:8888/rtp/239.253.230.9:8000
CCTV9,http://ty.19911013.top:8888/rtp/239.253.230.79:8000
CCTV10,http://ty.19911013.top:8888/rtp/239.253.230.236:8000
CCTV11,http://ty.19911013.top:8888/rtp/239.253.230.12:8000
